"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-04-01 ~ 2025-04-30"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"126","경상남도 창녕군 길곡면 길곡리","1***","단독","8m미만","144.46","905.00","202504","30","22,600","개인","개인","2015","옥산곡길","-","중개거래","경남 창녕군"
"127","경기도 양주시 은현면 도하리","2**","단독","8m미만","133.78","374.00","202504","30","32,500","개인","개인","2012","그루고개로426번길","-","중개거래","경기 양주시"
"128","충청남도 부여군 외산면 가덕리","1**","단독","8m미만","90.00","660.00","202504","30","11,000","개인","개인","2010","가덕로","-","중개거래","충남 부여군"
"129","인천광역시 옹진군 영흥면 내리","1***","단독","8m미만","395.64","764.00","202504","30","44,770","개인","개인","2010","내동로131번길","-","중개거래","인천 옹진군"
"130","전북특별자치도 완주군 이서면 이문리","5*","단독","8m미만","48.00","977.00","202504","30","27,000","개인","개인","2018","이문길","-","중개거래","전북 전주시 덕진구"
"131","울산광역시 울주군 온산읍 덕신리","2**","단독","12m미만","368.08","235.90","202504","30","29,000","개인","개인","1994","신온5길","-","중개거래","울산 울주군"
"132","대구광역시 수성구 두산동","1**","다가구","12m미만","170.34","162.90","202504","30","51,500","개인","개인","1996","무학로21안길","-","중개거래","대구 수성구"
"133","대구광역시 달서구 성당동","5*","단독","8m미만","231.66","135.70","202504","30","27,000","개인","개인","1992","성당로33안길","-","중개거래","대구 남구"
"134","경상남도 사천시 죽림동","2**","단독","8m미만","40.48","230.90","202504","30","5,300","개인","개인","1990","진동길","-","중개거래","경남 사천시"
"135","경기도 고양시 일산동구 정발산동","1***","단독","8m미만","447.62","233.40","202504","30","99,000","개인","개인","1995","무궁화로141번길","-","중개거래","경기 고양시 일산동구"
"136","경상남도 진주시 대곡면 유곡리","9**","단독","8m미만","77.22","327.00","202504","30","5,820","개인","개인","2002","유곡로","-","중개거래","경남 진주시"
"137","충청남도 보령시 신흑동","1***","단독","25m미만","417.96","244.40","202504","30","45,000","개인","개인","2005","해수욕장6길","-","직거래","-"
"138","강원특별자치도 정선군 신동읍 예미리","8**","단독","12m미만","199.82","660.00","202504","30","18,000","개인","개인","2010","예미1길","-","직거래","-"
"139","전북특별자치도 전주시 완산구 남노송동","1**","단독","8m미만","73.30","165.00","202504","30","12,500","개인","개인","1975","간납로","-","직거래","-"
